date,time,central_pa,angular_width,linear_speed,speed_final,speed_20rs,acceleration,mass_g,kinetic_energy,mpa,links,remarks,year,month
2024-08-01,00:12:05,228,12,500,325,0,-154.4*1,----,----,224,C2 C3 PHTX DST Java Movie,Very Poor Event; Only C2,2024,8
2024-08-01,01:25:56,186,61,362,422,399,2.8,----,----,183,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-01,02:24:06,270,54,379,323,0,-10.1*1,----,----,286,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-01,02:48:05,60,25,295,359,417,5.1*1,----,----,60,C2 C3 PHTX DST Java Movie,Very Poor Event,2024,8
2024-08-01,05:24:05,292,24,309,441,1142,53.5*1,----,----,296,C2 C3 PHTX DST Java Movie,Very Poor Event; Only C2,2024,8
2024-08-01,06:24:05,56,26,610,693,1115,39.6*1,----,----,50,C2 C3 PHTX DST Java Movie,Very Poor Event; Only C2,2024,8
2024-08-01,07:24:05,Halo,360,1024,977,1010,-5.3,----,----,278,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-01,07:48:05,117,50,212,200,0,-2.5*1,----,----,119,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-01,11:36:05,130,123,1803,1574,1719,-49.2,----,----,138,C2 C3 PHTX DST Java Movie,Partial Halo,2024,8
2024-08-01,21:36:05,72,165,371,407,394,1.6,----,----,61,C2 C3 PHTX DST Java Movie,Partial Halo,2024,8
2024-08-02,01:36:29,36,63,295,301,338,1.2*1,----,----,35,C2 C3 PHTX DST Java Movie,Only C2,2024,8
2024-08-02,04:17:39,262,54,224,142,0,-51.7*1,----,----,265,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-02,05:00:07,269,203,1141,1171,1155,3.8,----,----,268,C2 C3 PHTX DST Java Movie,Partial Halo,2024,8
2024-08-02,18:12:05,66,14,336,390,458,5.6*1,----,----,71,C2 C3 PHTX DST Java Movie,Very Poor Event,2024,8
2024-08-02,23:36:05,198,22,418,561,1009,41.5*1,----,----,198,C2 C3 PHTX DST Java Movie,Very Poor Event,2024,8
2024-08-03,01:48:05,249,43,173,159,0,-4.2*1,----,----,250,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-03,06:24:05,170,32,338,434,461,6.9*1,----,----,165,C2 C3 PHTX DST Java Movie,Very Poor Event,2024,8
2024-08-03,10:36:05,72,13,287,261,175,-2.9*1,----,----,76,C2 C3 PHTX DST Java Movie,Very Poor Event,2024,8
2024-08-04,02:48:05,16,14,264,294,549,10.3*1,----,----,17,C2 C3 PHTX DST Java Movie,Very Poor Event; Only C2,2024,8
2024-08-04,07:36:06,297,86,434,411,415,-1.5,----,----,298,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-04,09:36:07,295,32,450,543,965,34.5*1,----,----,296,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-04,11:24:05,142,44,319,344,490,6.5*1,----,----,145,C2 C3 PHTX DST Java Movie,Poor Event,2024,8
2024-08-04,11:48:05,249,22,655,425,276,-29.0*1,----,----,250,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-04,13:36:32,108,46,218,221,249,0.7*1,----,----,102,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-04,14:36:05,160,28,434,425,419,-0.9*1,----,----,149,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-04,15:27:01,102,137,701,674,646,-4.7,----,----,103,C2 C3 PHTX DST Java Movie,Partial Halo,2024,8
2024-08-04,17:00:05,27,33,107,159,428,7.4*1,----,----,30,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-04,18:12:05,105,71,225,237,379,4.1*1,----,----,105,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-04,19:00:05,67,49,498,546,565,4.6*1,----,----,70,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-04,22:36:06,115,104,302,279,0,-5.3*1,----,----,102,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-05,00:12:05,268,22,479,588,1016,38.8*1,----,----,272,C2 C3 PHTX DST Java Movie,Very Poor Event,2024,8
2024-08-05,01:36:34,107,64,200,152,0,-17.9*1,----,----,104,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-05,03:12:10,121,84,251,235,119,-2.4*1,----,----,107,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-05,05:36:06,173,45,973,1101,1039,14.9*1,----,----,164,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-05,05:36:06,92,209,238,57,0,-11.9*1,----,----,109,C2 C3 PHTX DST Java Movie,Partial Halo,2024,8
2024-08-05,07:24:05,279,10,236,214,0,-5.8*1,----,----,281,C2 C3 PHTX DST Java Movie,Very Poor Event; Only C2,2024,8
2024-08-05,08:48:05,71,21,203,198,99,-1.3*1,----,----,71,C2 C3 PHTX DST Java Movie,Very Poor Event; Only C2,2024,8
2024-08-05,11:12:05,142,74,189,170,0,-2.5*1,----,----,147,C2 C3 PHTX DST Java Movie,Poor Event,2024,8
2024-08-05,13:26:28,271,27,226,466,2274,231.9*1,----,----,280,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-05,13:48:06,Halo,360,1155,1154,1154,-0.2,----,----,272,C2 C3 PHTX DST Java Movie,,2024,8
2024-08-05,15:48:06,97,160,502,369,417,-9.3,----,----,108,C2 C3 PHTX DST Java Movie,Partial Halo,2024,8
2024-08-06,11:24:05,295,11,289,326,766,21.6*1,----,----,299,C2 C3 PHTX DST Java Movie,Very Poor Event; Only C2,2024,8
2024-08-06,15:36:05,72,66,265,265,267,0.0*1,----,----,56,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
2024-08-06,18:24:05,292,39,497,518,708,11.6*1,----,----,303,C2 C3 PHTX DST Java Movie,Poor Event; Only C2,2024,8
